player_id,team_name,player_name,match_count,attacker_health_diff,defender_health_diff,attacker_accuracy,defender_accuracy,battle_duration,battle_moved_distance,damage
AG_aaaaaB,AG,aaaaaB,78,-9.300079346,-42.24051217,0.620269435,0.477946952,48.25621,2849.944972,66.85846
GRF_2tap,GRF,2tap,77,-28.11177115,-50.84665908,0.618529908,0.423245816,35.798702,1701.969426,75.34049
NEXT_Jw23,NEXT,Jw23,75,-15.05818061,-43.13060027,0.58473427,0.39788494,60.676327,2358.959849,78.62353
STK_Uncivil,STK,Uncivil,74,-4.841018195,-50.43021097,0.582218903,0.522021507,52.653625,2811.172611,69.383224
STK_aLOW,STK,aLOW,74,-11.51224671,-41.65673045,0.588598026,0.407001296,70.571724,2175.713162,74.38623
ILL_Topdawg,ILL,Topdawg,74,-9.01143736,-24.36382828,0.594605374,0.319593202,34.842148,2314.998848,62.650513
HARD_Chubba,HARD,Chubba,74,-17.12134582,-42.17029396,0.630555521,0.407321326,96.55023,2336.807517,75.77078
FBL_GregShotGG,FBL,GregShotGG,74,-13.91973628,-38.28303428,0.661145445,0.371784845,67.54868,1253.708501,82.487175
STK_PurdyKurty,STK,PurdyKurty,74,-0.632460486,-38.40719975,0.582707668,0.468406036,60.963104,2038.786444,69.88284
RAD_LosHD,RAD,LosHD,74,-5.240212558,-46.72493051,0.602459241,0.430041453,71.90989,1907.547246,76.461395
OATH_Snakers,OATH,Snakers,74,-1.735256211,-27.98922325,0.580914738,0.481072943,67.385216,2929.07917,75.31786
DGE_Kropp,DGE,Kropp,74,-10.42490881,-43.21226135,0.683889877,0.412672241,78.249725,1093.613794,74.79202
SQ_M1ME,SQ,M1ME,74,1.768974933,-41.70645976,0.579403237,0.464721336,46.830605,2942.964549,65.712685
HARD_Jsank,HARD,Jsank,74,-0.563070536,-42.76109006,0.605151889,0.505946683,72.41846,1858.347016,67.82819
OATH_Balefrost,OATH,Balefrost,74,-7.492750742,-20.47372712,0.664414023,0.444100199,63.85136,1919.533971,73.46662
SQ_Shrimzy,SQ,Shrimzy,74,-2.858625338,-33.1053969,0.582863772,0.495165523,71.24805,2221.703977,68.97801
RAD_Waldoe,RAD,Waldoe,74,-13.12270784,-48.34758057,0.585015045,0.394553167,78.07853,2418.882886,71.304245
ATC_Marcelek,ATC,Marcelek,74,-2.688355512,-41.53968212,0.576306887,0.491169488,82.36158,2738.430422,77.991234
ATC_Aghila,ATC,Aghila,74,4.895687981,-47.37129075,0.582544159,0.458185503,58.5111,1407.679538,70.09743
FBL_hellaaaaaa,FBL,hellaaaaaa,74,-6.626681846,-49.7324272,0.534145458,0.369724766,33.363773,3611.961762,60.40254
RAD_Miccoy,RAD,Miccoy,74,-10.79674842,-37.77732351,0.535787281,0.388549929,36.446896,2681.141729,71.32448
HARD_Lobes,HARD,Lobes,74,6.977443775,-28.97569,0.561026973,0.43424321,64.23567,2853.915971,71.30869
LBR_GuaB,LBR,GuaB,74,-7.162827448,-31.35799125,0.592519445,0.370559673,50.252964,2531.303226,68.70471
CG_Ripp3r,CG,Ripp3r,74,-11.91810727,-46.12149638,0.621941925,0.430859659,36.785698,1522.198705,66.01206
303_HoneyBadger,303,HoneyBadger,74,-8.036076911,-33.70736722,0.629887756,0.470515195,49.516277,1759.801234,79.01006
303_Voxsic,303,Voxsic,74,-11.65897455,-41.04680047,0.587491898,0.42602738,69.09019,1479.689088,72.87699
COM_Victxr,COM,Victxr,74,-9.039161661,-47.75895862,0.506344123,0.33220906,87.877975,3034.414209,68.52495
ZEN_Kickstart,ZEN,Kickstart,74,-0.400000939,-57.32247159,0.624973025,0.351024488,59.721317,1626.904786,68.871735
ZEN_Mystery,ZEN,Mystery,74,-18.52277201,-40.80001853,0.551659718,0.362500729,49.85861,2583.443643,64.43877
303_LANDOOON,303,LANDOOON,74,-0.224402631,-41.2996722,0.570374666,0.368513155,88.07818,1816.300658,69.94068
303_DRich,303,DRich,74,-8.359317978,-46.25412654,0.585004804,0.441955343,87.75708,4264.842324,65.72516
DUEL_Cherry,DUEL,Cherry,74,-4.700373638,-35.3721994,0.577593174,0.40420176,34.776577,2490.977905,62.095337
ZEN_Roth,ZEN,Roth,74,-3.962718621,-31.13946385,0.593857657,0.463394429,71.72573,2544.433278,67.35627
ZEN_Lataa,ZEN,Lataa,74,-6.512745581,-45.10927643,0.540772874,0.456862639,58.646553,2323.733068,75.1493
CG_Maji,CG,Maji,74,-6.661664086,-45.53322634,0.556228983,0.362880243,31.610758,2775.3691,62.30754
STK_luke12,STK,luke12,73,-7.996048646,-27.7972928,0.579349159,0.408070035,47.293663,2471.392972,73.70993
DGE_Reno,DGE,Reno,73,-11.54833799,-45.96677906,0.631471807,0.324992796,77.739,1689.939807,81.49147
SQ_hwinn,SQ,hwinn,73,-4.687535451,-50.93701281,0.59710727,0.400197994,65.36625,2123.720513,80.58825
ILL_Freemeplease,ILL,Freemeplease,73,-15.40910046,-42.79765458,0.514656268,0.347825311,48.621902,3819.336083,63.706455
OATH_Relo,OATH,Relo,73,-4.901994453,-19.30826062,0.591487355,0.42901225,63.244576,1471.958342,73.146255
HARD_Meluke,HARD,Meluke,73,-3.687611474,-50.2211047,0.55427722,0.30602325,51.700027,3315.670393,65.13961
LBR_IceTech,LBR,IceTech,73,-5.116161316,-34.28133381,0.64439748,0.400309455,62.858032,1263.560277,71.27853
LBR_Addit,LBR,Addit,73,-21.93531869,-40.77721296,0.585772524,0.237411443,101.38642,1986.149567,69.95148
COM_DTreats,COM,DTreats,73,-11.6290065,-41.23391007,0.594260038,0.445388303,77.74271,2213.708333,81.876526
DUEL_Woo1y,DUEL,Woo1y,73,-2.839144916,-41.18831825,0.547027755,0.373723553,35.849514,2275.240597,72.65202
CG_ZrayGOD,CG,ZrayGOD,73,-20.06954751,-45.13302989,0.630066082,0.307539456,81.42249,1338.183454,65.93655
DUEL_Lampalot,DUEL,Lampalot,73,-9.201274357,-40.54263388,0.638081526,0.335178836,102.39854,1629.942905,72.37895
PeRo_longdd,PeRo,longdd,72,-2.060379153,-42.60405028,0.540634076,0.395002904,34.659676,1883.276655,71.227455
TL_clib,TL,clib,72,-8.260587767,-34.50863852,0.620961002,0.410211625,61.801857,2241.910191,71.02487
BSTN_Flamyy,BSTN,Flamyy,72,-12.78869343,-25.90118767,0.568224007,0.296053596,68.438385,1988.650188,70.855995
BSTN_Hjort,BSTN,Hjort,72,-23.74828293,-53.19427648,0.64616976,0.329166412,103.42858,2548.27153,65.23727
WS_TheWanderer,WS,TheWanderer,72,-11.18766201,-40.79115622,0.520568919,0.38328561,29.236166,2658.604434,67.401184
WS_Kemba7,WS,Kemba7,72,-14.47581405,-48.40476914,0.570691568,0.376593609,48.26384,1968.601698,69.536316
BSTN_Beami,BSTN,Beami,72,-1.874259426,-48.52645504,0.574633357,0.400936449,78.16803,2385.483513,74.88204
NAVI_Orange,NAVI,Orange,72,-10.92059426,-46.07505706,0.620677594,0.480247323,61.044403,2640.859199,72.71664
NAVI_Besto,NAVI,Besto,72,-4.033210412,-36.55171779,0.588898168,0.438548887,49.6247,2752.140336,69.12886
WS_Maxiz0r,WS,Maxiz0r,72,-8.880783792,-45.6654254,0.567189395,0.356632248,55.99329,1664.818172,74.29335
WS_OFSTRING,WS,OFSTRING,72,-8.954963181,-40.07035959,0.53591444,0.446955907,41.574554,2881.925416,73.06681
ETG_Thenderlost,ETG,Thenderlost,72,-10.17066338,-48.9856212,0.565095603,0.410030027,86.8981,2534.100276,74.67387
KX_LilGhost,KX,LilGhost,72,-12.35255799,-46.56995366,0.627346763,0.470093696,85.691986,1945.872613,79.93375
COM_Yaxley,COM,Yaxley,72,-4.031027779,-43.87998991,0.539637898,0.318584025,40.749287,2974.36916,64.754166
IW_BSD,IW,BSD,72,-6.264648888,-32.97005269,0.598794793,0.290086455,61.985264,2659.147547,69.28042
IW_shecreated,IW,shecreated,72,-19.05445237,-36.0337587,0.579341203,0.416102349,51.992752,2188.190318,75.4766
sW_Zoccer,sW,Zoccer,72,-1.610670853,-34.47399878,0.578774006,0.343617123,56.655132,2001.162051,63.30973
sW_ItzzChrizZ,sW,ItzzChrizZ,72,-4.64456038,-39.59791273,0.614045328,0.297551534,59.52323,1857.445187,72.8889
BSTN_Yellow,BSTN,Yellow,71,-9.085940661,-53.65429039,0.514915907,0.303924459,42.12957,2135.54445,59.079338
ETG_Hueth,ETG,Hueth,71,-2.911589858,-46.46405081,0.627492967,0.373718816,81.27735,1342.563212,84.011986
ETG_forever,ETG,forever,71,-22.79433798,-50.65702415,0.619725167,0.271515267,48.416958,2160.335692,60.160744
DA_Mitraleius,DA,Mitraleius,71,-4.567965579,-52.67212286,0.580211377,0.342752029,49.34505,2489.909905,61.023033
IW_rup7ure,IW,rup7ure,71,-10.88983808,-43.94257745,0.606623954,0.381568482,35.619392,1866.687278,75.36789
IW_LeventMdk,IW,LeventMdk,71,-4.097848351,-48.39539525,0.556845712,0.358324387,43.69209,3173.001556,71.30159
sW_KILYAKAi,sW,KILYAKAi,71,-1.751273306,-60.46005917,0.607042783,0.33653328,55.311275,2652.219322,73.700294
EM_k1nch,EM,k1nch,70,-19.49924408,-46.29006266,0.590205267,0.389757557,51.46486,2547.853549,70.9818
DA_mert,DA,mert,70,-15.41006106,-40.95111779,0.606544295,0.378315609,85.9395,1061.862693,72.72064
DA_Smash,DA,Smash,70,2.836789449,-35.09438509,0.621198113,0.445743659,63.549614,2586.985868,76.059875
VSG_WICK2D,VSG,WICK2D,70,-16.0721492,-58.43915323,0.581512333,0.434029924,45.95973,2125.215175,66.46875
T1_HelleN,T1,HelleN,69,-14.89793186,-45.67073385,0.628727418,0.41744237,106.43641,2266.746363,71.53602
DGE_f1nna,DGE,f1nna,68,-22.36419461,-44.20389795,0.563685574,0.281143869,87.85894,2659.764983,61.43495
CTG_WangZX,CTG,WangZX,66,-17.78561482,-51.95931435,0.568570034,0.390408227,65.71173,2103.538811,68.323494
sW_Braexco,sW,Braexco,66,-7.638883318,-55.0726321,0.588204621,0.426459997,63.930244,2460.796496,71.88783
